Fuel_Type,Body_Type,Transmission,Number_of_Owners,Car_Model,Price,Registration_Year,Seats,Kms_Driven,mileage(kmpl),max_power(bhp),Power Steering,Air Conditioner,Heater,Centeral Locking,Child Safety Locks,Anti Theft Device
0,2,1,2,7,632000.0,2016,5,115599,19.12,91.1,1,1,1,1,1,1
1,1,1,2,61,1758500.0,2019,5,77000,13.38,261.5,1,1,1,1,1,1
1,1,0,1,76,850000.0,2018,5,100000,24.3,88.5,1,1,1,1,1,1
0,2,0,1,79,299000.0,2008,5,72000,14.7,115.0,1,1,1,1,1,0
1,2,1,1,80,1758500.0,2013,5,77000,16.36,187.7,1,1,1,1,1,1
1,1,1,1,33,1758500.0,2013,7,87101,12.07,241.4,1,1,1,1,1,1
0,0,0,2,42,999000.0,2021,5,40771,18.24,108.62,1,1,1,1,1,1
0,0,0,1,9,825000.0,2018,5,28000,18.7,88.7,1,1,1,1,1,1
0,0,0,3,19,250000.0,2008,5,40000,18.9,67.0,1,1,1,1,1,0
0,1,1,1,81,1295000.0,2020,5,26000,18.15,118.35,1,1,1,1,1,1
0,0,0,1,19,329000.0,2012,5,76032,18.9,67.1,1,1,1,1,1,0
0,2,0,1,7,666000.0,2018,5,113780,21.56,103.25,1,1,1,1,1,1
1,2,1,1,82,1758500.0,2020,5,24000,20.38,143.0,1,1,1,1,1,1
1,1,0,2,81,1026000.0,2020,5,65812,23.7,98.6,1,1,1,1,1,1
0,1,1,1,83,1700000.0,2022,5,10000,17.2,113.98,1,1,1,1,1,0
0,0,0,1,24,681000.0,2016,5,39959,21.4,83.1,1,1,1,1,1,1
0,1,1,1,55,1689999.9999999998,2022,7,10000,14.2,156.9,1,1,1,1,1,0
0,0,0,3,50,318000.0,2017,5,65484,24.39,65.71,1,1,1,1,1,0
0,0,0,1,24,688000.0,2017,5,49174,21.4,83.1,1,1,1,1,1,1
0,0,0,1,45,265000.0,2009,5,50000,20.36,78.9,1,1,1,1,0,0
0,2,1,2,84,645000.0,2018,5,40000,22.0,81.8,1,1,1,1,1,1
0,1,1,1,55,1758500.0,2022,7,30000,14.2,156.9,1,1,1,1,1,0
0,1,0,1,85,1470000.0,2022,5,20000,15.43,108.49,1,1,1,1,1,0
3,2,0,1,86,220000.00000000003,2010,5,70000,13.2,93.7,1,1,1,1,1,0
1,2,1,1,18,1475000.0,2014,5,90000,17.11,174.33,1,1,1,1,1,1
0,0,0,1,34,415000.00000000006,2020,5,40000,21.74,67.0,1,1,1,1,1,1
0,0,0,1,9,610000.0,2016,5,63797,18.7,88.7,1,1,1,1,1,1
0,0,0,2,8,560000.0,2018,5,60216,18.9,81.86,1,1,1,1,1,1
0,0,1,2,50,425000.0,2015,5,10000,23.95,67.05,1,1,1,1,1,1
0,0,0,1,24,686000.0,2016,5,38153,21.4,83.1,1,1,1,1,1,1
0,0,0,1,14,517000.0,2015,5,76485,22.38,88.5,1,1,1,1,1,0
0,0,0,1,24,675000.0,2016,5,40623,21.4,83.1,1,1,1,1,1,1
0,0,0,1,14,499000.0,2014,5,88051,22.38,88.5,1,1,1,1,1,0
0,0,0,1,14,774000.0,2022,5,16522,22.38,88.5,1,1,1,1,1,0
1,1,0,2,5,1475000.0,2019,5,70000,16.3,170.0,1,1,1,1,1,1
0,1,0,1,12,1400000.0,2023,5,10000,17.33,118.35,1,1,1,1,0,0
0,0,0,2,52,285000.0,2013,5,57000,21.1,55.2,1,1,1,0,1,1
0,0,0,1,24,780000.0,2019,5,10000,21.4,83.1,1,1,1,1,1,1
0,0,0,2,14,475000.0,2012,5,50000,18.6,85.8,1,1,1,1,1,0
1,1,0,1,47,750000.0,2019,5,120000,20.0,115.0,1,1,1,1,1,1
0,0,0,1,8,555000.0,2015,5,35469,18.9,82.0,1,1,1,1,1,1
0,0,0,2,9,607000.0,2017,5,40073,18.7,88.7,1,1,1,1,1,1
0,0,0,2,8,513999.99999999994,2017,5,65730,18.9,81.86,1,1,1,1,1,1
0,2,0,2,24,250000.0,2005,5,120000,15.4,0.0,1,0,0,0,0,0
0,0,0,2,24,705000.0,2016,5,36184,21.4,83.1,1,1,1,1,1,1
0,0,0,1,24,653000.0,2016,5,69310,21.4,83.1,1,1,1,1,1,1
0,2,1,1,13,872000.0000000001,2015,5,55643,18.0,117.3,1,1,1,1,1,1
0,0,1,2,8,564000.0,2017,5,62803,18.9,81.86,1,1,1,1,1,1
1,0,0,2,42,370000.0,2011,5,90000,22.07,73.9,1,1,1,1,0,0
0,0,0,1,14,550000.0,2015,5,68656,22.38,88.5,1,1,1,1,1,0
0,0,0,3,9,517000.0,2016,5,77501,18.7,88.7,1,1,1,1,1,1
0,2,0,1,84,620000.0,2016,5,40000,20.85,83.14,1,1,1,1,1,1
0,2,0,1,84,620000.0,2016,5,40000,20.85,83.14,1,1,1,1,1,1
0,2,1,1,13,750000.0,2014,5,48325,18.0,117.3,1,1,1,1,1,1
0,1,0,1,12,1220000.0,2022,5,30000,17.57,118.36,1,1,1,1,1,0
1,0,1,2,87,1350000.0,2013,5,100000,14.8,120.7,1,1,1,1,1,0
0,0,0,1,14,575000.0,2015,5,69000,22.0,81.8,1,1,1,1,1,1
0,2,0,2,64,868000.0,2016,5,50000,17.01,121.3,1,1,1,1,1,1
1,3,1,1,88,1758500.0,2020,8,60000,14.11,197.2,1,1,1,1,1,1
0,0,1,1,14,900000.0,2022,5,14999,22.56,88.5,1,1,1,1,1,0
0,0,0,2,9,550000.0,2016,5,90773,18.7,88.7,1,1,1,1,1,1
0,0,0,2,14,610000.0,2017,5,64917,20.4,81.8,1,1,1,1,1,1
0,0,0,1,9,543000.0,2017,5,70235,18.7,88.7,1,1,1,1,1,1
0,0,0,1,9,535000.0,2016,5,78782,18.7,88.7,1,1,1,1,1,1
1,1,0,2,10,850000.0,2014,7,164000,15.1,140.0,1,1,1,1,1,1
0,2,0,2,7,661000.0,2016,5,72136,20.73,91.1,1,1,1,1,1,1
0,0,0,2,14,505000.0,2015,5,52486,22.38,88.5,1,1,1,1,1,0
1,2,1,1,89,450000.0,2007,5,150000,15.6,106.0,1,1,1,1,1,0
0,1,0,1,77,865000.0,2017,5,36887,17.5,88.7,1,1,1,1,1,1
1,1,0,1,66,595000.0,2014,5,135000,20.45,83.8,1,1,1,1,1,1
0,2,1,2,90,1758500.0,2018,5,47398,14.67,177.46,1,1,1,1,1,1
0,2,0,2,73,400000.0,2012,5,50000,14.6,112.0,1,1,1,1,1,0
1,1,1,1,91,1758500.0,2020,5,55000,14.71,261.5,1,1,1,1,1,1
0,0,1,3,42,520000.0,2013,5,90000,17.21,103.6,1,1,1,1,1,1
0,0,0,1,24,616000.0,2016,5,116624,21.4,83.1,1,1,1,1,1,1
0,2,0,2,7,795000.0,2019,5,54561,21.56,103.25,1,1,1,1,1,1
1,3,0,2,69,1275000.0,2013,7,120000,12.99,100.6,1,1,1,1,1,1
0,0,0,1,9,624000.0,2016,5,65072,18.7,88.7,1,1,1,1,1,1
0,0,0,1,8,549000.0,2017,5,133532,18.9,81.86,1,1,1,1,1,1
1,3,0,3,69,760000.0,2010,7,120000,11.4,100.6,1,1,1,0,0,0
1,1,0,1,10,1650000.0,2019,7,80000,15.1,152.87,1,1,1,1,1,1
1,0,0,2,14,583000.0,2015,5,56976,25.2,74.0,1,1,1,1,1,1
0,2,0,2,53,1147000.0,2020,5,68303,17.69,108.62,1,1,1,1,1,1
1,2,1,1,36,825000.0,2016,5,54000,21.72,108.6,1,1,1,1,1,1
1,1,1,1,92,1758500.0,2016,7,98500,12.51,187.7,1,1,1,1,1,1
0,0,0,1,42,755000.0,2018,5,72348,16.2,74.0,1,1,1,1,1,1
0,1,0,1,37,875000.0,2015,5,70000,13.0,121.3,1,1,1,1,1,1
0,0,0,1,42,855000.0000000001,2021,5,62696,17.74,75.1,1,1,1,1,1,1
1,1,1,3,23,1758500.0,2014,7,174000,12.55,168.5,1,1,1,1,1,1
0,0,0,1,8,525000.0,2016,5,65000,18.9,82.0,1,1,1,1,1,1
0,0,1,1,8,650000.0,2017,5,36000,18.9,81.86,1,1,1,1,1,1
1,3,0,2,69,950000.0,2011,7,199000,12.8,102.0,1,1,1,1,0,0
0,2,1,1,13,846000.0000000001,2018,5,71905,18.0,117.6,1,1,1,1,1,1
0,0,0,2,14,424000.0,2013,5,69748,22.38,88.5,1,1,1,1,1,0
0,0,0,1,93,210000.0,2008,5,44000,19.7,46.3,1,1,1,0,0,0
0,2,0,2,54,959000.0,2021,5,17875,17.1,105.94,1,1,1,1,1,1
0,1,0,1,15,889000.0,2021,5,95678,16.42,153.866,1,1,1,1,1,0
1,1,0,2,1,836000.0,2018,5,114427,23.0,98.96,1,1,1,1,1,1
0,1,1,1,51,660000.0,2022,5,20000,19.03,71.01,1,1,1,1,1,0
0,0,0,1,49,334000.0,2012,5,64655,19.4,86.8,1,1,1,1,1,1
0,1,0,1,43,594000.0,2018,6,46456,18.15,82.0,1,1,1,1,1,1
1,1,0,1,5,1450000.0,2018,5,50000,17.1,170.0,1,1,1,1,1,1
1,2,0,4,53,219000.0,2011,5,90000,20.54,103.6,1,1,1,1,1,1
0,1,1,1,94,1758500.0,2021,5,27000,0.0,0.0,1,1,1,1,1,1
1,3,0,3,69,455000.0,2008,8,150000,12.8,102.0,1,1,1,1,0,0
0,0,0,1,24,825000.0,2022,5,10000,22.35,88.5,1,1,1,1,1,0
0,2,0,1,13,825000.0,2018,5,40000,17.4,117.6,1,1,1,1,1,1
1,1,0,1,1,919999.9999999999,2020,5,40000,23.0,98.96,1,1,1,1,1,1
1,1,0,2,1,729000.0,2017,5,91598,22.77,98.59,1,1,1,1,1,1
0,0,0,1,0,432000.0,2015,5,57521,25.24,65.71,1,1,1,1,1,0
1,1,0,1,15,700000.0,2016,5,100000,19.87,83.8,1,1,1,1,1,1
0,2,0,1,64,1499000.0,2021,5,7598,17.7,113.18,1,1,1,1,1,0
0,1,0,1,15,762000.0,2017,5,38520,13.06,102.53,1,1,1,1,1,1
0,1,0,1,85,1625000.0,2022,5,20000,15.43,108.49,1,1,1,1,1,0
